iter	Logloss
0	0.6892238272
1	0.6850912284
2	0.6809991532
3	0.6768193139
4	0.6735682806
5	0.6694104478
6	0.6655449164
7	0.6614929648
8	0.6579540439
9	0.6544922623
10	0.6509632261
11	0.6476391911
12	0.64410223
13	0.6409883319
14	0.6387799373
15	0.6356938844
16	0.63359445
17	0.6306455609
18	0.6283687411
19	0.6250407922
20	0.6221731078
21	0.6192587193
22	0.6165188648
23	0.6135547227
24	0.6108653414
25	0.6081788346
26	0.6057540452
27	0.6033548149
28	0.6013882776
29	0.5988045222
30	0.5971145827
31	0.5946775078
32	0.5925008797
33	0.5904843137
34	0.5880716046
35	0.5855539369
36	0.5833556244
37	0.5812124126
38	0.5797387225
39	0.5779214071
40	0.575974208
41	0.5743632285
42	0.5723347285
43	0.57084045
44	0.5688860651
45	0.5671039299
46	0.5653475075
47	0.5635157634
48	0.5621521526
49	0.560631242
50	0.5590853401
51	0.5574396684
52	0.5558951317
53	0.5545243411
54	0.5532470011
55	0.5521894766
56	0.5507896283
57	0.5494167377
58	0.5479731373
59	0.5467447884
60	0.54518824
61	0.5439739879
62	0.5427063691
63	0.5415992215
64	0.5407391392
65	0.5394939596
66	0.5380177792
67	0.5367213133
68	0.5358144151
69	0.5347034442
70	0.533920385
71	0.5330186392
72	0.5318152362
73	0.5300541145
74	0.5287534133
75	0.5275012171
76	0.5271065867
77	0.5261014605
78	0.5250074008
79	0.5245830392
80	0.5236401795
81	0.5224253783
82	0.5212706684
83	0.5203094546
84	0.5198823387
85	0.5191200767
86	0.5182226863
87	0.5169698614
88	0.5160823856
89	0.5155222261
90	0.5146671957
91	0.5136081814
92	0.5128464167
93	0.5121534573
94	0.5112898838
95	0.5103224395
96	0.5096201646
97	0.508807996
98	0.5083464503
99	0.5073652059
100	0.50659554
101	0.5058202091
102	0.5056577824
103	0.5048636994
104	0.504038594
105	0.5033221019
106	0.5024543276
107	0.5016222439
108	0.5006932572
109	0.4996717703
110	0.4991207949
111	0.4983763312
112	0.4976990594
113	0.4968783455
114	0.4959625283
115	0.4953286471
116	0.4947575615
117	0.4940760034
118	0.4938156638
119	0.4932763794
120	0.492653485
121	0.4921128037
122	0.4913703839
123	0.4908806721
124	0.4901742654
125	0.4893641298
126	0.4887111961
127	0.4881151403
128	0.4872575921
129	0.4865281112
130	0.4859683487
131	0.4853365431
132	0.4847056651
133	0.4839997528
134	0.4833541908
135	0.4828101501
136	0.4824078085
137	0.4818504359
138	0.4812024497
139	0.4807736682
140	0.4805117582
141	0.4800982067
142	0.4795594327
143	0.4789972641
144	0.478371442
145	0.4779194525
146	0.4774812733
147	0.4769715408
148	0.476670919
149	0.4764500573
150	0.4760682961
151	0.4755059729
152	0.4749575018
153	0.4744803651
154	0.474176168
155	0.4736969317
156	0.4733168515
157	0.4729891087
158	0.4725390311
159	0.4719208331
160	0.4713337245
161	0.4708071252
162	0.4702817783
163	0.4698082959
164	0.4697141058
165	0.4693481714
166	0.4690232669
167	0.4684885247
168	0.4679443957
169	0.4675578822
170	0.4671978464
171	0.4665010827
172	0.4662149619
173	0.4656583536
174	0.4653905572
175	0.4649384267
176	0.4646870108
177	0.4643871783
178	0.4640917956
179	0.4636938457
180	0.4632735746
181	0.4629191231
182	0.4622981009
183	0.4620289839
184	0.4615832855
185	0.4612173879
186	0.4608446764
187	0.460461079
188	0.4599205311
189	0.4596049138
190	0.4592403578
191	0.4588365865
192	0.4585641809
193	0.4582890108
194	0.4582646568
195	0.4580059807
196	0.4576280037
197	0.4571175728
198	0.4568258194
199	0.4564406889
200	0.4560315046
201	0.4558008606
202	0.4555075197
203	0.4551971455
204	0.4548129349
205	0.4542774252
206	0.4539447154
207	0.4539023709
208	0.4536123681
209	0.4532935755
210	0.4528215261
211	0.4524137304
212	0.4519742878
213	0.4515342772
214	0.4512716098
215	0.4508724281
216	0.4507147171
217	0.4504295581
218	0.4499766265
219	0.4498181198
220	0.4494669518
221	0.4490935359
222	0.4487304273
223	0.4486539468
224	0.448190861
225	0.4479923009
226	0.4474953249
227	0.4471141859
228	0.4466035354
229	0.4462958439
230	0.4457736379
231	0.4454112925
232	0.4451787685
233	0.4448424967
234	0.4443754107
235	0.4440519946
236	0.4436661893
237	0.4433222172
238	0.4432226654
239	0.4427809606
240	0.4424752917
241	0.4421498196
242	0.4419073096
243	0.4414970398
244	0.4412160868
245	0.4408902904
246	0.4405520201
247	0.440221113
248	0.4402116851
249	0.4398124716
250	0.439568768
251	0.4393884163
252	0.4393367578
253	0.4391989497
254	0.4390209334
255	0.4385805172
256	0.4383386307
257	0.4381116052
258	0.4377902728
259	0.4375618571
260	0.437384858
261	0.4370593175
262	0.4367687052
263	0.4364055498
264	0.4361286444
265	0.4358000083
266	0.4355614323
267	0.4352065899
268	0.4348107819
269	0.4344889126
270	0.4343460862
271	0.4340528843
272	0.433697926
273	0.433421056
274	0.4332596138
275	0.4330230689
276	0.4328376852
277	0.4325218701
278	0.4323691345
279	0.4320855546
280	0.4319105925
281	0.4316367638
282	0.4311797003
283	0.4311591026
284	0.430838213
285	0.430636088
286	0.4304146213
287	0.4302403852
288	0.4299598127
289	0.4297522084
290	0.4295893294
291	0.4294051526
292	0.4291329426
293	0.428900575
294	0.4288661633
295	0.4284918576
296	0.4282582071
297	0.4281252479
298	0.4279257747
299	0.4278452254
300	0.4276707918
301	0.4275171109
302	0.4271878502
303	0.4271635171
304	0.4269948688
305	0.4267267445
306	0.4265225386
307	0.4262136932
308	0.4259136117
309	0.4256507594
310	0.4254149825
311	0.4250824643
312	0.4250146882
313	0.4249373914
314	0.4246831786
315	0.4246802591
316	0.4245286602
317	0.4244806642
318	0.4241797781
319	0.4239322737
320	0.4237705786
321	0.4234794401
322	0.4231116331
323	0.4228166069
324	0.4226334961
325	0.4224399714
326	0.4224114647
327	0.4221283937
328	0.421815114
329	0.4216717246
330	0.421659892
331	0.4214915304
332	0.4213121506
333	0.4210888491
334	0.4208613081
335	0.4206498155
336	0.4206232688
337	0.4202999132
338	0.4200096821
339	0.4199426541
340	0.419571291
341	0.4194714241
342	0.4191841801
343	0.4188617579
344	0.4186256494
345	0.4184722321
346	0.4184548138
347	0.4184496505
348	0.4181892889
349	0.4179546561
350	0.4176966135
351	0.4174652892
352	0.4172585956
353	0.4170251218
354	0.4169071125
355	0.4168962921
356	0.4167526498
357	0.4164379719
358	0.4162022882
359	0.4159047893
360	0.4157491336
361	0.4154487171
362	0.4152895455
363	0.41501886
364	0.414754453
365	0.4146480323
366	0.4145686003
367	0.4142605272
368	0.4141312709
369	0.4141248665
370	0.4139593584
371	0.4138079825
372	0.4135152037
373	0.4133308066
374	0.4130822676
375	0.4129051271
376	0.4128768744
377	0.4127211737
378	0.4127180314
379	0.4124916762
380	0.4122046797
381	0.4118535043
382	0.4117424708
383	0.4115166368
384	0.4113477404
385	0.4111607023
386	0.4109400101
387	0.4108133504
388	0.4107030004
389	0.4106169535
390	0.4103584034
391	0.4101365048
392	0.4098497489
393	0.4095390025
394	0.4092604201
395	0.4090367787
396	0.408802188
397	0.4085904463
398	0.408265143
399	0.4080279581
400	0.4076997525
401	0.4074882855
402	0.4073821809
403	0.4071558733
404	0.4068502177
405	0.4067565022
406	0.4066224386
407	0.4063892559
408	0.4062498455
409	0.4060152429
410	0.4056986241
411	0.4055088197
412	0.405216226
413	0.4050376466
414	0.4048995443
415	0.4047108206
416	0.4045461444
417	0.4045317109
418	0.404519573
419	0.4043339323
420	0.4041320951
421	0.4039502459
422	0.4037516111
423	0.4035677329
424	0.403326178
425	0.4030337421
426	0.402818745
427	0.4026954427
428	0.4025627497
429	0.402355588
430	0.4021349962
431	0.4018242202
432	0.4015831417
433	0.4013967265
434	0.4011710695
435	0.4010445824
436	0.4008791068
437	0.4008483805
438	0.4006431104
439	0.400432256
440	0.4002138534
441	0.4000128321
442	0.399825449
443	0.3996684114
444	0.3996466003
445	0.3996468672
446	0.3995351774
447	0.3994718018
448	0.3992517777
449	0.3990195893
450	0.3988341499
451	0.3985677218
452	0.3983246062
453	0.3981813914
454	0.3980314167
455	0.3978574485
456	0.3978492117
457	0.3976612284
458	0.3974737552
459	0.3972850554
460	0.3971844881
461	0.396943971
462	0.3968295847
463	0.3966271894
464	0.3965386531
465	0.3964339143
466	0.3963048601
467	0.3961023062
468	0.3960167358
469	0.3959032278
470	0.3956869782
471	0.3953903097
472	0.3951848879
473	0.39494714
474	0.3947866325
475	0.3946823472
476	0.3944155503
477	0.3942733978
478	0.3941028777
479	0.3940883078
480	0.3938199068
481	0.3935953161
482	0.3934479743
483	0.393386444
484	0.3932101881
485	0.3930983397
486	0.3927687607
487	0.3925982707
488	0.39236709
489	0.3921914843
490	0.3919254081
491	0.3918450777
492	0.3917233326
493	0.3914264921
494	0.3912411922
495	0.3912196847
496	0.3911751154
497	0.3909648238
498	0.3909648552
499	0.3907221835
500	0.3905236276
501	0.39033131
502	0.3901359372
503	0.3900543915
504	0.3898616486
505	0.3897457988
506	0.3897455321
507	0.3894468833
508	0.3892394888
509	0.3890864028
510	0.3890275381
511	0.3887864448
512	0.3886962326
513	0.3885110462
514	0.3884002041
515	0.3882101218
516	0.3881342369
517	0.3881335089
518	0.3879743955
519	0.3878389899
520	0.3878036205
521	0.387603798
522	0.3875326633
523	0.3873423818
524	0.387204963
525	0.3870334258
526	0.3869772639
527	0.3869769855
528	0.3869175112
529	0.38678849
530	0.3867880905
531	0.3865255815
532	0.3865072838
533	0.386482422
534	0.3862539058
535	0.3860843462
536	0.385893275
537	0.3857354776
538	0.3856960035
539	0.3855462542
540	0.3853660222
541	0.3852238562
542	0.3849257562
543	0.384866046
544	0.3845963568
545	0.3845043244
546	0.3842940808
547	0.3841301678
548	0.3840682209
549	0.3839796313
550	0.3837249571
551	0.3836355964
552	0.3833861402
553	0.383293487
554	0.3831141916
555	0.3829573461
556	0.3828957503
557	0.3826806662
558	0.3824788552
559	0.3823022072
560	0.3821108648
561	0.3819615275
562	0.3817308682
563	0.381538982
564	0.3813720215
565	0.3812201144
566	0.3810807999
567	0.3809315469
568	0.3807993538
569	0.3807321213
570	0.380634614
571	0.3805251392
572	0.3802437909
573	0.3800927444
574	0.3799536078
575	0.3797436218
576	0.3795987824
577	0.3794309065
578	0.3794231283
579	0.3792920016
580	0.3791653883
581	0.3790331768
582	0.3790064344
583	0.3788481329
584	0.3786770065
585	0.3784737584
586	0.3783621767
587	0.3781433759
588	0.3779341129
589	0.3778653152
590	0.3777536895
591	0.3777509762
592	0.3776403864
593	0.3775040986
594	0.377237195
595	0.3770199729
596	0.3768070565
597	0.3766646226
598	0.3764765155
599	0.3762706435
600	0.3762068157
601	0.3760038461
602	0.375918694
603	0.3757040772
604	0.3755556908
605	0.3754249299
606	0.3752611069
607	0.3751621926
608	0.3750339322
609	0.3749304509
610	0.3748170173
611	0.3746982493
612	0.3744890273
613	0.3744064501
614	0.3742209929
615	0.3740971195
616	0.3738689741
617	0.3736742408
618	0.3734591456
619	0.3733175858
620	0.3731616229
621	0.3729532244
622	0.3727352865
623	0.372620814
624	0.3724908332
625	0.3723526672
626	0.3722280486
627	0.3719995389
628	0.3718297699
629	0.3716202295
630	0.371486639
631	0.3713830092
632	0.3712233886
633	0.3710043869
634	0.3707502501
635	0.3706295693
636	0.37054212
637	0.3704382393
638	0.3702759169
639	0.3702646844
640	0.3700634992
641	0.369957712
642	0.3697599917
643	0.3696496168
644	0.3695467328
645	0.3694269761
646	0.3692502503
647	0.369049169
648	0.3689034113
649	0.3688522606
650	0.3686247476
651	0.3684822623
652	0.3684730562
653	0.3683666115
654	0.3681855916
655	0.3681037401
656	0.3678730883
657	0.3677042877
658	0.36751144
659	0.3673704097
660	0.367180936
661	0.3670456405
662	0.3668349576
663	0.3666247159
664	0.366508883
665	0.3663480535
666	0.3662145399
667	0.3660230407
668	0.3658969045
669	0.3657771295
670	0.3657222097
671	0.3656070381
672	0.3654377896
673	0.3652952618
674	0.365081531
675	0.3649065791
676	0.3647770285
677	0.364689575
678	0.3645850495
679	0.3644888684
680	0.3643858251
681	0.3642562992
682	0.3640743032
683	0.3639680349
684	0.3638413992
685	0.3637167823
686	0.3635316814
687	0.3634137027
688	0.3632924852
689	0.3631909839
690	0.3630484795
691	0.3629462229
692	0.3628083694
693	0.3627459517
694	0.3626408234
695	0.3625169421
696	0.3623990266
697	0.362315948
698	0.3621783661
699	0.3619884142
700	0.3618799224
701	0.3618060455
702	0.3617368717
703	0.3615901866
704	0.3614291454
705	0.3612137521
706	0.3610933161
707	0.3609234382
708	0.3607404907
709	0.3606201279
710	0.3605375164
711	0.3603486733
712	0.3602445464
713	0.3600338361
714	0.3599503857
715	0.359728683
716	0.3595656707
717	0.359390513
718	0.3591704417
719	0.3589659286
720	0.3588318001
721	0.3587287486
722	0.3585964564
723	0.3584651977
724	0.358363216
725	0.3582411841
726	0.3581033595
727	0.3579403237
728	0.357775982
729	0.3575969752
730	0.3574931828
731	0.3573733487
732	0.3572550209
733	0.357072601
734	0.3569713885
735	0.3568542876
736	0.3566430836
737	0.3565362471
738	0.3564364152
739	0.3562831548
740	0.3561434373
741	0.3559942251
742	0.3558304334
743	0.3556551914
744	0.3554791672
745	0.3553635196
746	0.3553121378
747	0.3551816977
748	0.355009165
749	0.354845945
750	0.3546853233
751	0.3544748073
752	0.3543332448
753	0.3541368589
754	0.353948512
755	0.3538612947
756	0.3537616916
757	0.3535777841
758	0.3534539464
759	0.3532889233
760	0.3531746952
761	0.3529907883
762	0.3527943102
763	0.3526829865
764	0.3525015909
765	0.3523430668
766	0.3522203027
767	0.3520797203
768	0.3518655995
769	0.3516905596
770	0.3515428436
771	0.3514135339
772	0.35127702
773	0.3511034352
774	0.3509838884
775	0.3508584152
776	0.350685269
777	0.3505451923
778	0.3504788009
779	0.3503037671
780	0.3502116101
781	0.3499876798
782	0.34986841
783	0.3496911045
784	0.3495464869
785	0.3494259608
786	0.349271065
787	0.3491217301
788	0.3489895154
789	0.348811124
790	0.3486324409
791	0.3484817292
792	0.3483524744
793	0.3482167183
794	0.3480785571
795	0.3478873347
796	0.3477026995
797	0.3475866348
798	0.3475203291
799	0.3473811692
800	0.3472319986
801	0.347122246
802	0.3470344388
803	0.3469418349
804	0.3468251022
805	0.3467497036
806	0.3465614265
807	0.3464107381
808	0.346328306
809	0.3462078689
810	0.3460408166
811	0.3459406639
812	0.3458347405
813	0.3457301139
814	0.3455785694
815	0.3453888709
816	0.3452349206
817	0.3451819421
818	0.3450783635
819	0.3448462662
820	0.3447227628
821	0.3445652971
822	0.3444796944
823	0.344369594
